street,city,state,zip_code,address_full
22218 CENTER STREET #7,CASTRO VALLEY,CA,94546.0,"22218 CENTER STREET #7, CASTRO VALLEY, CA 94546, USA"
1928 NORTH WEBER AVENUE,FRESNO,CA,93705.0,"1928 NORTH WEBER AVENUE, FRESNO, CA 93705, USA"
4546 W. PALO ALTO #203,FRESNO,CA,93722.0,"4546 W. PALO ALTO #203, FRESNO, CA 93722, USA"
1540 WHITE BIRCH TERRACE #216,FREMONT,CA,94536.0,"1540 WHITE BIRCH TERRACE #216, FREMONT, CA 94536, USA"
3344 INTERNATIONAL BLVD. #3,OAKLAND,CA,94601.0,"3344 INTERNATIONAL BLVD. #3, OAKLAND, CA 94601, USA"
18493 GOSSIPER LN.,SHAFTER,CA,93263.0,"18493 GOSSIPER LN., SHAFTER, CA 93263, USA"
25455 WHITMAN STREET #40,HAYWARD,CA,94545.0,"25455 WHITMAN STREET #40, HAYWARD, CA 94545, USA"
16388 CLAPBOARD ROAD,VOLCANO,CA,95689.0,"16388 CLAPBOARD ROAD, VOLCANO, CA 95689, USA"
4263 MARSTEN AVE,UNION CITY,CA,94587.0,"4263 MARSTEN AVE, UNION CITY, CA 94587, USA"
"5280 NORTH SIXTH STREET,APT.M",FRESNO,CA,93710.0,"5280 NORTH SIXTH STREET,APT.M, FRESNO, CA 93710, USA"
31 GRANDVIEW,KERNVILLE,CA,93238.0,"31 GRANDVIEW, KERNVILLE, CA 93238, USA"
3400 MAIN STREET,OAKLEY,CA,94561.0,"3400 MAIN STREET, OAKLEY, CA 94561, USA"
319 PEARL DR,LIVERMORE,CA,94550.0,"319 PEARL DR, LIVERMORE, CA 94550, USA"
5280 RIVERLAKE ROAD,BYRON,CA,94514.0,"5280 RIVERLAKE ROAD, BYRON, CA 94514, USA"
1822 A STREET,EUREKA,CA,95501.0,"1822 A STREET, EUREKA, CA 95501, USA"
76 VIRGINIA DRIVE,BAY POINT,CA,94565.0,"76 VIRGINIA DRIVE, BAY POINT, CA 94565, USA"
1024 OAK CREST CRT,PLACERVILLE,CA,95667.0,"1024 OAK CREST CRT, PLACERVILLE, CA 95667, USA"
1650 NORTH IMPERIAL APT. #41,CALEXICO,CA,92231.0,"1650 NORTH IMPERIAL APT. #41, CALEXICO, CA 92231, USA"
